,Datetime,Open,High,Low,Close,Volume,Date,Time,Day,Day of Week,Month,Year
0,2023-12-04 14:30:00,45.75,45.92499923706055,45.20600128173828,45.28949737548828,13940047,2023-12-04,14:30:00,4,0,12,2023
1,2023-12-04 15:30:00,45.277000427246094,45.38800048828125,45.01000213623047,45.305999755859375,7404850,2023-12-04,15:30:00,4,0,12,2023
2,2023-12-04 16:30:00,45.30350112915039,45.678001403808594,45.16899871826172,45.60799026489258,4720700,2023-12-04,16:30:00,4,0,12,2023
3,2023-12-04 17:30:00,45.61000061035156,45.709991455078125,45.34000015258789,45.353851318359375,3600694,2023-12-04,17:30:00,4,0,12,2023
4,2023-12-04 18:30:00,45.34799957275391,45.459999084472656,45.12300109863281,45.26396942138672,3726418,2023-12-04,18:30:00,4,0,12,2023
5,2023-12-04 19:30:00,45.26499938964844,45.33200073242188,45.13199996948242,45.26362991333008,3633876,2023-12-04,19:30:00,4,0,12,2023
6,2023-12-04 20:30:00,45.26708221435547,45.60799789428711,45.26499938964844,45.512001037597656,3559709,2023-12-04,20:30:00,4,0,12,2023
7,2023-12-05 14:30:00,45.46599960327149,46.560001373291016,45.27099990844727,46.23400115966797,12749554,2023-12-05,14:30:00,5,1,12,2023
8,2023-12-05 15:30:00,46.24399948120117,46.584999084472656,45.96799850463867,46.04999923706055,5461895,2023-12-05,15:30:00,5,1,12,2023
9,2023-12-05 16:30:00,46.05249786376953,46.183990478515625,45.75,46.159141540527344,4531968,2023-12-05,16:30:00,5,1,12,2023
10,2023-12-05 17:30:00,46.16899871826172,46.19717025756836,45.907997131347656,46.14049911499024,2819263,2023-12-05,17:30:00,5,1,12,2023
11,2023-12-05 18:30:00,46.14699935913086,46.42499923706055,46.10199737548828,46.39899826049805,2844452,2023-12-05,18:30:00,5,1,12,2023
12,2023-12-05 19:30:00,46.39450073242188,46.47499847412109,46.21799850463867,46.32846832275391,2911852,2023-12-05,19:30:00,5,1,12,2023
13,2023-12-05 20:30:00,46.32900238037109,46.59999847412109,46.314002990722656,46.56800079345703,3363456,2023-12-05,20:30:00,5,1,12,2023
14,2023-12-06 14:30:00,47.214500427246094,47.387001037597656,46.36100006103516,46.44400024414063,11433656,2023-12-06,14:30:00,6,2,12,2023
